sales_date,item_id,item_desc,brand_name,category_name,price,number_of_carton_Sell
2022-10-01,100001,100001,BRAND-NAME-A,CATEGORY-NAME-A," 16,970 ",37
2022-10-01,100002,100002,BRAND-NAME-A,CATEGORY-NAME-A," 16,816 ",38
2022-10-01,100003,100003,BRAND-NAME-A,CATEGORY-NAME-A," 13,587 ",30
2022-10-01,100003,100003,BRAND-NAME-A,CATEGORY-NAME-A," 18,745 ",31
2022-10-01,100003,100003,BRAND-NAME-B,CATEGORY-NAME-B," 8,811 ",29
2022-10-01,100003,100003,BRAND-NAME-A,CATEGORY-NAME-C," 15,750 ",24
2022-10-01,100003,100003,BRAND-NAME-A,CATEGORY-NAME-A," 8,943 ",23
2022-10-01,100008,100008,BRAND-NAME-C,CATEGORY-NAME-D," 35,738 ",37
2022-10-01,100009,100009,BRAND-NAME-B,CATEGORY-NAME-B," 7,457 ",23
2022-10-01,100010,100010,BRAND-NAME-A,CATEGORY-NAME-A," 10,505 ",20
2022-10-01,100010,100010,BRAND-NAME-A,CATEGORY-NAME-A," 21,346 ",26
2022-10-01,100010,100010,BRAND-NAME-A,CATEGORY-NAME-A," 7,786 ",36
2022-10-01,100010,100010,BRAND-NAME-C,CATEGORY-NAME-D," 39,004 ",26
2022-10-01,100010,100010,BRAND-NAME-B,CATEGORY-NAME-B," 6,430 ",23
2022-10-01,100010,100010,BRAND-NAME-A,CATEGORY-NAME-A," 25,096 ",23
2022-10-01,100016,100016,BRAND-NAME-A,CATEGORY-NAME-E," 6,340 ",16
2022-10-01,100017,100017,BRAND-NAME-A,CATEGORY-NAME-A," 7,425 ",16
2022-10-01,100018,100018,BRAND-NAME-A,CATEGORY-NAME-F," 25,124 ",17
2022-10-01,100019,100019,BRAND-NAME-A,CATEGORY-NAME-C," 17,715 ",20
2022-10-01,100023,100023,BRAND-NAME-B,CATEGORY-NAME-B," 5,346 ",13
2022-10-01,100023,100023,BRAND-NAME-D,CATEGORY-NAME-G," 35,768 ",22
2022-10-01,100023,100023,BRAND-NAME-A,CATEGORY-NAME-E," 5,480 ",18
2022-10-01,100023,100023,BRAND-NAME-C,CATEGORY-NAME-H," 32,600 ",21
2022-10-01,100028,100028,BRAND-NAME-B,CATEGORY-NAME-B," 8,800 ",14
2022-10-01,100028,100028,BRAND-NAME-B,CATEGORY-NAME-I," 11,000 ",12
2022-10-01,100028,100028,BRAND-NAME-A,CATEGORY-NAME-F," 15,869 ",16
2022-10-01,100028,100028,BRAND-NAME-A,CATEGORY-NAME-A," 7,686 ",14
2022-10-01,100028,100028,BRAND-NAME-A,CATEGORY-NAME-A," 26,455 ",22
2022-10-01,100029,100029,BRAND-NAME-C,CATEGORY-NAME-D," 39,544 ",18
2022-10-01,100030,100030,BRAND-NAME-A,CATEGORY-NAME-F," 17,687 ",15
2022-10-01,100031,100031,BRAND-NAME-D,CATEGORY-NAME-G," 22,022 ",18
2022-10-01,100032,100032,BRAND-NAME-B,CATEGORY-NAME-J," 17,223 ",13
2022-10-01,100032,100032,BRAND-NAME-A,CATEGORY-NAME-E," 7,382 ",12
2022-10-01,100032,100032,BRAND-NAME-B,CATEGORY-NAME-K," 7,957 ",14
2022-10-01,100032,100032,BRAND-NAME-A,CATEGORY-NAME-L," 24,456 ",18
2022-10-01,100032,100032,BRAND-NAME-B,CATEGORY-NAME-I," 14,275 ",12
